,score
5032,6.76
2876,7.23
833,7.84
10659,5.55
6030,6.57
4634,6.85
6956,6.4
6292,6.52
8756,6.04
5329,6.71
1368,7.61
1421,7.58
12397,4.48
8254,6.14
819,7.85
8863,6.02
8977,5.99
1491,7.56
11425,5.27
5936,6.59
9372,5.9
330,8.21
5705,6.63
1285,7.64
8205,6.15
3616,7.09
6927,6.4
11202,5.36
1091,7.72
2473,7.31
73,8.63
8494,6.09
11176,5.37
4156,6.96
9699,5.81
5206,6.73
291,8.25
7877,6.22
4614,6.86
4012,7.0
41,8.74
7934,6.21
11533,5.22
8119,6.17
9836,5.78
318,8.22
10937,5.46
10581,5.57
3169,7.18
4097,6.98
8178,6.15
8481,6.1
7168,6.36
11399,5.28
11379,5.3
10932,5.46
7588,6.28
12363,4.53
6558,6.47
4740,6.83
3037,7.2
9386,5.9
6176,6.54
5880,6.6
1347,7.62
2517,7.3
85,8.6
1669,7.52
10003,5.73
7015,6.39
11768,5.1
3689,7.07
9421,5.89
1035,7.75
8376,6.11
7359,6.32
10902,5.47
2655,7.28
4533,6.87
9551,5.85
8097,6.17
6389,6.51
12215,4.73
10074,5.72
10865,5.49
4414,6.9
6666,6.45
8997,5.98
6639,6.46
10289,5.66
7150,6.36
9979,5.74
10407,5.63
5790,6.61
3941,7.01
4147,6.96
1795,7.47
9500,5.87
6200,6.54
898,7.81
5751,6.62
1981,7.43
958,7.78
5196,6.73
7171,6.36
1513,7.56
1769,7.48
465,8.09
8538,6.08
3328,7.15
1479,7.57
5928,6.59
1634,7.53
4766,6.82
868,7.83
3857,7.03
6458,6.49
10580,5.57
7685,6.26
7258,6.34
6742,6.44
8651,6.06
11254,5.34
2582,7.29
3800,7.04
4742,6.83
2813,7.24
7354,6.32
5358,6.7
2879,7.23
7077,6.37
1766,7.48
9811,5.79
7889,6.22
3101,7.19
2002,7.42
5616,6.65
1791,7.47
7800,6.23
11827,5.07
11128,5.39
7642,6.27
10244,5.68
1111,7.71
3495,7.11
10529,5.59
11956,4.97
7512,6.29
2692,7.27
8844,6.02
4889,6.79
2254,7.36
5813,6.61
4609,6.86
1489,7.56
5504,6.67
9582,5.85
4415,6.9
5061,6.76
1272,7.64
12371,4.52
1219,7.67
10460,5.61
4441,6.89
3352,7.14
5537,6.66
5651,6.64
11967,4.96
6449,6.49
8870,6.01
1493,7.56
12231,4.72
6066,6.56
